link_to_book/_text,cover_image/_alt,link_to_book,link_to_book/_title,cover_image
Jesper (PERISCOPIO),Detalles del producto,http://www.amazon.es/Jesper-PERISCOPIO-Carol-Matas/dp/8423676692/ref=sr_1_35/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-35,Jesper (PERISCOPIO),http://ecx.images-amazon.com/images/I/51MIeqsSHPL._AA200_.jpg
En septiembre llegó el desastre (PERISCOPIO),Detalles del producto,http://www.amazon.es/En-septiembre-lleg%C3%B3-desastre-PERISCOPIO/dp/8423676676/ref=sr_1_36/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-36,En septiembre llegó el desastre (PERISCOPIO),http://ecx.images-amazon.com/images/I/516zVDxSPVL._AA200_.jpg
Trece años de Blanca (PERISCOPIO),Detalles del producto,http://www.amazon.es/Trece-Blanca-PERISCOPIO-Agust%C3%ADn-Fern%C3%A1ndez/dp/8423676781/ref=sr_1_37/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-37,Trece años de Blanca (PERISCOPIO),http://ecx.images-amazon.com/images/I/51Z-Wl061ML._AA200_.jpg
EL SELLO DE EOLO (PERISCOPIO),Detalles del producto,http://www.amazon.es/SELLO-EOLO-PERISCOPIO-Manuel-Alfonseca/dp/8423691403/ref=sr_1_38/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-38,EL SELLO DE EOLO (PERISCOPIO),http://ecx.images-amazon.com/images/I/51Jw6tqjBRL._AA200_.jpg
El diablo en el túnel: 86 (Narrativa juvenil y contemporánea (séries)),Detalles del producto,http://www.amazon.es/El-diablo-t%C3%BAnel-Narrativa-contempor%C3%A1nea/dp/8423676498/ref=sr_1_39/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-39,El diablo en el túnel: 86 (Narrativa juvenil y contemporánea (séries)),http://ecx.images-amazon.com/images/I/51dFmUqXvWL._AA200_.jpg
Un sudario de hiedra (Periscopio),Detalles del producto,http://www.amazon.es/sudario-hiedra-Periscopio-Latorre-Fortu%C3%B1o/dp/8423678970/ref=sr_1_40/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-40,Un sudario de hiedra (Periscopio),http://ecx.images-amazon.com/images/I/51PJWgS3frL._AA200_.jpg
JAQUE A BORGIA (PERISCOPIO),Detalles del producto,http://www.amazon.es/JAQUE-BORGIA-PERISCOPIO-Natalia-Demidoff/dp/8423687651/ref=sr_1_41/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-41,JAQUE A BORGIA (PERISCOPIO),http://ecx.images-amazon.com/images/I/41fYo1kYckL._AA200_.jpg
El maestro oscuro (PERISCOPIO),Detalles del producto,http://www.amazon.es/maestro-oscuro-PERISCOPIO-Mallorqu%C3%A9-Corral/dp/8423678059/ref=sr_1_42/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-42,El maestro oscuro (PERISCOPIO),http://ecx.images-amazon.com/images/I/41qiJyvNhHL._AA200_.jpg
CLAUDE de vacaciones,Detalles del producto,http://www.amazon.es/CLAUDE-vacaciones-Nacionalidad-Britanica-Smith/dp/8468308617/ref=sr_1_43/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-43,CLAUDE de vacaciones,http://ecx.images-amazon.com/images/I/51VByFLzVOL._AA200_.jpg
Caja regalo ALFRED & AGATHA,Detalles del producto,http://www.amazon.es/Caja-regalo-ALFRED-AGATHA-Campoy/dp/8468312983/ref=sr_1_44/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-44,Caja regalo ALFRED & AGATHA,http://ecx.images-amazon.com/images/I/51D8U%2B7WjwL._AA200_.jpg
