pub_date,link_to_book/_text,link_to_book,author,publisher
23/02/2012,Le parc de l'horreur,http://www.decitre.fr/livres/le-parc-de-l-horreur-9782747039024.html,R-L Stine,Bayard Jeunesse
23/02/2012,Les aventures de Victor BigBoum Une mamie de choc,http://www.decitre.fr/livres/les-aventures-de-victor-bigboum-une-mamie-de-choc-9782747036467.html,Bertrand Fichou,Bayard Jeunesse
23/02/2012,On n'a rien vu venir. Roman à 7 voix,http://www.decitre.fr/livres/on-n-a-rien-vu-venir-9782874261626.html,"Anne-Gaëlle Balpe, Sandrine Beau, Clémentine Beauvais, Annelise Heurtier",Alice
23/02/2012,Yakouba. Edition collector accompagnée d'un tiré à part,http://www.decitre.fr/livres/yakouba-9782021071399.html,Thierry Dedieu,Seuil Jeunesse
23/02/2012,Mortelle Adèle Tome 1 Tout ça finira mal,http://www.decitre.fr/livres/mortelle-adele-tome-1-tout-ca-finira-mal-9782848016917.html,"Mr Tan, Miss Prickly",Tourbillon
23/02/2012,"Avec Saint François d'Assise, en route vers la profession de foi. Temps de retraite, cahier de l'animateur",http://www.decitre.fr/livres/avec-saint-francois-d-assise-en-route-vers-la-profession-de-foi-9782873244248.html,Marie-Thérèse Debey-Dumollin,Lumen Vitae
23/02/2012,Je suis un phénomène,http://www.decitre.fr/livres/je-suis-un-phenomene-9782874261565.html,Elisabeth Atkinson,Alice
23/02/2012,Alphabet rigolo des z'animos !,http://www.decitre.fr/livres/alphabet-rigolo-des-z-animos-9782917289525.html,Miguel Cruz,Belize (Editions)
23/02/2012,Le club des chevaux magiques Tome 7 Princesse Félina,http://www.decitre.fr/livres/le-club-des-chevaux-magiques-tome-7-princesse-felina-9782324002267.html,Loïc Léo,Gründ
23/02/2012,Barbie I can be. Chef patissier,http://www.decitre.fr/livres/barbie-i-can-be-9782508016158.html,Hemma,Hemma
23/02/2012,Joue avec les Princesses !. Amuse-toi avec ton livre aimanté !,http://www.decitre.fr/livres/joue-avec-les-princesses-amuse-toi-avec-ton-livre-aimante-9782324001253.html,Jennie Poh,Gründ
23/02/2012,The Midnight Library Tome 12 Oeil pour oeil,http://www.decitre.fr/livres/the-midnight-library-tome-12-oeil-pour-oeil-9782092527429.html,Nick Shadow,"[""Nathan"", ""E-book""]"
23/02/2012,Achille le guerrier,http://www.decitre.fr/livres/achille-le-guerrier-9782092538029.html,Hélène Montardre,"[""Nathan"", ""E-book""]"
23/02/2012,L'enlèvement de Perséphone,http://www.decitre.fr/livres/l-enlevement-de-persephone-9782092538036.html,Hélène Montardre,"[""Nathan"", ""E-book""]"
22/02/2012,"La sorcière, le prince et le crapaud",http://www.decitre.fr/livres/la-sorciere-le-prince-et-le-crapaud-9782700238594.html,Clobulle,Rageot
22/02/2012,En compagnie des animaux,http://www.decitre.fr/livres/en-compagnie-des-animaux-9782700238600.html,Cécile Le Floch,Rageot
22/02/2012,Pito Ma Tome 7 Greg french lover of Waikiki et autres histoires de Tahiti,http://www.decitre.fr/livres/pito-ma-tome-7-greg-french-lover-of-waikiki-et-autres-histoires-de-tahiti-9782915654905.html,"Toerau, Gotz",Au vent des îles
22/02/2012,Arsène Lopin. Le célèbre cabrioleur avec 1 CD audio,http://www.decitre.fr/livres/arsene-lopin-9782918911234.html,"Catherine Lafaye Latteux, Laure Gomez",Braques (Les Editions des)
22/02/2012,Nour. Le moment venu,http://www.decitre.fr/livres/nour-9782352891369.html,Mélanie Rutten,MeMo (Editions)
