link_to_book/_source,link_to_book/_text,cover_image/_title,cover_image/_alt,cover_image/_source,link_to_book,link_to_book/_title,cover_image
/nl/p/razend/9200000024305729/,Razend,"[""Razend"", nil]","[""Razend"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/2/7/5/9200000024305729.jpg"", nil]",http://www.bol.com/nl/p/razend/9200000024305729/,Razend,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/2/7/5/9200000024305729.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/paniek/9200000024508814/,Paniek,"[""Paniek"", nil]","[""Paniek"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/1/8/8/9200000024508814.jpg"", nil]",http://www.bol.com/nl/p/paniek/9200000024508814/,Paniek,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/1/8/8/9200000024508814.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/verdwenen-in-het-niets/9200000033383676/,Verdwenen in het niets,"[""Verdwenen in het niets"", nil]","[""Verdwenen in het niets"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/6/7/6/3/9200000033383676.jpg"", nil]",http://www.bol.com/nl/p/verdwenen-in-het-niets/9200000033383676/,Verdwenen in het niets,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/6/7/6/3/9200000033383676.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/offergave/9200000031365744/,Offergave,"[""Offergave"", nil]","[""Offergave"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/4/7/5/9200000031365744.jpg"", nil]",http://www.bol.com/nl/p/offergave/9200000031365744/,Offergave,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/4/7/5/9200000031365744.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/radeloos/9200000024508810/,Radeloos,"[""Radeloos"", nil]","[""Radeloos"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/0/1/8/8/9200000024508810.jpg"", nil]",http://www.bol.com/nl/p/radeloos/9200000024508810/,Radeloos,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/0/1/8/8/9200000024508810.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/race-door-rome/9200000030255189/,Race door Rome,"[""Race door Rome"", nil]","[""Race door Rome"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/8/1/5/9200000030255189.jpg"", nil]",http://www.bol.com/nl/p/race-door-rome/9200000030255189/,Race door Rome,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/8/1/5/9200000030255189.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/kappen/9200000024508758/,Kappen!,"[""Kappen!"", nil]","[""Kappen!"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/5/7/8/9200000024508758.jpg"", nil]",http://www.bol.com/nl/p/kappen/9200000024508758/,Kappen!,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/5/7/8/9200000024508758.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/middeleeuws-mysterie/9200000030255228/,Middeleeuws mysterie,"[""Middeleeuws mysterie"", nil]","[""Middeleeuws mysterie"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/2/2/5/9200000030255228.jpg"", nil]",http://www.bol.com/nl/p/middeleeuws-mysterie/9200000030255228/,Middeleeuws mysterie,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/2/2/5/9200000030255228.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/de-duistere-fae/9200000031365591/,De duistere fae,"[""De duistere fae"", nil]","[""De duistere fae"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/1/9/5/5/9200000031365591.jpg"", nil]",http://www.bol.com/nl/p/de-duistere-fae/9200000031365591/,De duistere fae,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/1/9/5/5/9200000031365591.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/het-godinnenoffer/9200000026730350/,Het godinnenoffer,"[""Het godinnenoffer"", nil]","[""Het godinnenoffer"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/0/5/3/0/9200000026730350.jpg"", nil]",http://www.bol.com/nl/p/het-godinnenoffer/9200000026730350/,Het godinnenoffer,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/0/5/3/0/9200000026730350.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/matilda/9200000025900950/,Matilda,"[""Matilda"", nil]","[""Matilda"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/0/5/9/0/9200000025900950.jpg"", nil]",http://www.bol.com/nl/p/matilda/9200000025900950/,Matilda,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/0/5/9/0/9200000025900950.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/donds-offer/9200000026586249/,Donds offer,"[""Donds offer"", nil]","[""Donds offer"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/9/4/2/6/9200000026586249.jpg"", nil]",http://www.bol.com/nl/p/donds-offer/9200000026586249/,Donds offer,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/9/4/2/6/9200000026586249.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/engelen-in-het-donker/9200000026586206/,Engelen in het donker,"[""Engelen in het donker"", nil]","[""Engelen in het donker"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/6/0/2/6/9200000026586206.jpg"", nil]",http://www.bol.com/nl/p/engelen-in-het-donker/9200000026586206/,Engelen in het donker,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/6/0/2/6/9200000026586206.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/kinderknutselboek/9200000026440417/,Kinderknutselboek,"[""Kinderknutselboek"", nil]","[""Kinderknutselboek"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/7/1/4/0/9200000026440417.jpg"", nil]",http://www.bol.com/nl/p/kinderknutselboek/9200000026440417/,Kinderknutselboek,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/7/1/4/0/9200000026440417.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/de-olijke-tweeling-wil-winnen/9200000023004516/,De olijke tweeling wil winnen!,"[""De olijke tweeling wil winnen!"", nil]","[""De olijke tweeling wil winnen!"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/6/1/5/4/9200000023004516.jpg"", nil]",http://www.bol.com/nl/p/de-olijke-tweeling-wil-winnen/9200000023004516/,De olijke tweeling wil winnen!,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/6/1/5/4/9200000023004516.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/smaken-verschillen/9200000023785793/,Smaken verschillen,"[""Smaken verschillen"", nil]","[""Smaken verschillen"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/3/9/7/5/9200000023785793.jpg"", nil]",http://www.bol.com/nl/p/smaken-verschillen/9200000023785793/,Smaken verschillen,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/3/9/7/5/9200000023785793.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/hondeneters/9200000022383331/,Hondeneters,"[""Hondeneters"", nil]","[""Hondeneters"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/1/3/3/3/9200000022383331.jpg"", nil]",http://www.bol.com/nl/p/hondeneters/9200000022383331/,Hondeneters,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/1/3/3/3/9200000022383331.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/leugens/9200000022092094/,Leugens,"[""Leugens"", nil]","[""Leugens"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/4/9/0/2/9200000022092094.jpg"", nil]",http://www.bol.com/nl/p/leugens/9200000022092094/,Leugens,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/4/9/0/2/9200000022092094.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
