image,book_page_url,title,pub_date,series,author,isbn,format,publisher,language,page,title,category
http://ecx.images-amazon.com/images/I/51kf3CACqQL._AA160_.jpg,http://www.amazon.it/101-primi-giochi-anni-Rosso/dp/9461952260/ref=sr_1_33/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-33,101 primi giochi. 4-6 anni. Rosso,– 1 gen 2030,Collana: Gli educativi,,ISBN-13: 978-9461952264,Copertina flessibile,Editore: Yoyo Books (1 gennaio 2030),Lingua: Inglese,Copertina flessibile: 96 pagine,101 primi giochi. 4-6 anni. Rosso,"Libri > Libri per bambini e ragazzi > Giochi, giocattoli e attività ricreativa Libri > Libri per bambini e ragazzi > Primo apprendimento"
http://ecx.images-amazon.com/images/I/51VInOmTOxL._AA160_.jpg,http://www.amazon.it/101-primi-giochi-5-7-anni/dp/9461952287/ref=sr_1_34/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-34,101 primi giochi. 5-7 anni,– 1 gen 2030,Collana: Gli educativi,,ISBN-13: 978-9461952288,Copertina flessibile,Editore: Yoyo Books (1 gennaio 2030),Lingua: Inglese,Copertina flessibile: 96 pagine,101 primi giochi. 5-7 anni,"Libri > Libri per bambini e ragazzi > Giochi, giocattoli e attività ricreativa Libri > Libri per bambini e ragazzi > Primo apprendimento"
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Babbo-Natale-Raymond-Briggs/dp/8817077844/ref=sr_1_35/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-35,Babbo Natale,– 12 nov 2014,Collana: Album,di Raymond Briggs (Autore),ISBN-13: 978-8817077842,Copertina flessibile,Editore: Rizzoli (12 novembre 2014),,Copertina flessibile: 32 pagine,Babbo Natale,Libri > Libri per bambini e ragazzi
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Babbo-Natale-vacanza-Raymond-Briggs/dp/8817077836/ref=sr_1_36/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-36,Babbo Natale va in vacanza,– 12 nov 2014,Collana: Album,di Raymond Briggs (Autore),ISBN-13: 978-8817077835,Copertina flessibile,Editore: Rizzoli (12 novembre 2014),,Copertina flessibile: 32 pagine,Babbo Natale va in vacanza,Libri > Libri per bambini e ragazzi
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Alfabeto-ABCD-Treno-a-colori/dp/886363646X/ref=sr_1_37/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-37,Alfabeto ABCD. Treno a colori,– 1 gen 2030,,,ISBN-13: 978-8863636468,Copertina rigida,Editore: Edizioni del Baldo (1 gennaio 2030),,Copertina rigida: 32 pagine,Alfabeto ABCD. Treno a colori,Libri > Libri per bambini e ragazzi > Libri interattivi Libri > Libri per bambini e ragazzi > Primo apprendimento
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Alfabeto-cuccioli-Treno-a-colori/dp/8863636478/ref=sr_1_38/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-38,Alfabeto cuccioli. Treno a colori,– 1 gen 2030,,,ISBN-13: 978-8863636475,Copertina rigida,Editore: Edizioni del Baldo (1 gennaio 2030),,Copertina rigida: 32 pagine,Alfabeto cuccioli. Treno a colori,Libri > Libri per bambini e ragazzi > Libri interattivi Libri > Libri per bambini e ragazzi > Primo apprendimento
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Alice-verdure-colorate-Giorgia-Cozza/dp/8865801018/ref=sr_1_39/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-39,Alice e le verdure colorate,– 1 gen 2030,Collana: Il giardino dei cedri,"di Giorgia Cozza (Autore), Agnelli M.F. (Illustratore)",ISBN-13: 978-8865801017,Cartonato,Editore: Il Leone Verde (1 gennaio 2030),,Cartonato: 22 pagine,Alice e le verdure colorate,Libri > Libri per bambini e ragazzi
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Allavventura-signor-Tigre-Peter-Brown/dp/8876384421/ref=sr_1_40/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-40,All'avventura signor Tigre!,– 1 gen 2030,,di Peter Brown (Autore),ISBN-13: 978-8876384424,Copertina flessibile,Editore: Isbn Edizioni (1 gennaio 2030),,Copertina flessibile: 24 pagine,All'avventura signor Tigre!,Libri > Libri per bambini e ragazzi > Libri illustrati
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Allo-zoo-Sorpresa/dp/9461955855/ref=sr_1_41/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-41,Allo zoo. Sorpresa!,– 1 gen 2030,,,ISBN-13: 978-9461955852,Copertina flessibile,Editore: Yoyo Books (1 gennaio 2030),,Copertina flessibile,Allo zoo. Sorpresa!,Libri > Libri per bambini e ragazzi > Libri illustrati
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/Anche-giocattoli-scrivono-Babbo-Natale/dp/8816573856/ref=sr_1_42/276-4231659-4809567?s=books&ie=UTF8&qid=1414921825&sr=1-42,Anche i giocattoli scrivono a Babbo Natale,– 13 nov 2014,Collana: Ragazzi. Racconti di Natale,"di Christine Beigel (Autore), Roland Garrigue (Autore)",ISBN-13: 978-8816573857,Copertina flessibile,Editore: Jaca Book (13 novembre 2014),,Copertina flessibile: 32 pagine,Anche i giocattoli scrivono a Babbo Natale,Libri > Libri per bambini e ragazzi > Letteratura e narrativa
