title,sub_title,authors,page,publisher,pub_date,spec_1,spec_2,spec_3
Ik ben Harry Vink,,"[""Auteur: Alexis Deacon"", ""Verkoop door bol.com""]",Lemniscaat,januari 2015,,"Productinformatie Auteur Alexis Deacon Illustrator Viviane Schwarz Soort Met illustraties Taal Nederlands Vertaald door Jesse Goossens Afmetingen 12x295x255 mm Gewicht 565,00 gram Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9047700643 ISBN13 9789047700647","Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Lemniscaat januari 2015
Zo mooi anders,een gedichtenprentenboek,Verkoop door bol.com,Lemniscaat,januari 2015,,"Productinformatie Soort Met illustraties Taal Nederlands Afmetingen 13x343x254 mm Gewicht 713,00 gram Geschikt voor 6 - 9 jaar Druk 1 ISBN10 9047700147 ISBN13 9789047700142",Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 6-9 jaar,Nederlands Lemniscaat januari 2015
Het Gruffalo natuurspeurboek,,"[""Auteur: Julia Donaldson"", ""Verkoop door bol.com""]",Lemniscaat,januari 2015,,"Productinformatie Auteur Julia Donaldson Illustrator Axel Scheffler Soort Met illustraties Taal Nederlands Afmetingen 4x230x165 mm Gewicht 120,00 gram Geschikt voor 4 - 12 jaar Druk 1 ISBN10 9047701860 ISBN13 9789047701866","Je vindt dit boek in Categorieën Kind & Jeugd > Informatieve boeken Leeftijd 3-6 jaar , 6-9 jaar , 9-12 jaar",Nederlands Lemniscaat januari 2015
Kapitein Kees,,"[""Auteur: Anke Kranendonk"", ""Verkoop door bol.com""]",Lemniscaat,januari 2015,,"Productinformatie Auteur Anke Kranendonk Illustrator Annemarie van Haeringen Soort Met illustraties Taal Nederlands Afmetingen 20x223x149 mm Gewicht 414,00 gram Geschikt voor 7 - 9 jaar Druk 1 ISBN10 9047706714 ISBN13 9789047706717",Je vindt dit boek in Categorieën Kind & Jeugd > Romans & Zelf lezen Leeftijd 6-9 jaar,Nederlands Lemniscaat januari 2015
Raad eens hoeveel ik van je hou / deel Babyboek,,"[""Auteur: Macbratney"", ""Verkoop door bol.com""]",Lemniscaat,januari 2014,,"Productinformatie Auteur Macbratney Illustrator Anita Jeram Soort Met illustraties Taal Nederlands Vertaald door L.M. Niskos Afmetingen 15x258x258 mm Gewicht 561,00 gram Geschikt voor 0 - 3 jaar Druk 1 ISBN10 9047706129 ISBN13 9789047706120","Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 6-12 maanden",Nederlands Lemniscaat januari 2014
Disney Classics me-reader,,Verkoop door bol.com,Memphis Belle,april 2015,,Productinformatie Soort Met illustraties Taal Nederlands Geschikt voor 0 - 12 jaar Druk 1 ISBN10 1450896235 ISBN13 9781450896238,"Je vindt dit boek in Categorieën Kind & Jeugd > Kind & Jeugd overig Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle april 2015
Werk in uitvoering,de weg,"[""Auteur: Sally Sutton"", ""Verkoop door bol.com""]",Memphis Belle,,,Productinformatie Auteur Sally Sutton Soort Met illustraties Taal Nederlands Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9089418180 ISBN13 9789089418180,"Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Memphis Belle
Thomas de stoomlocomotief,,Verkoop door bol.com,Memphis Belle,maart 2015,,Productinformatie Soort Met illustraties Taal Nederlands Geschikt voor 0 - 12 jaar Druk 1 ISBN10 908941424X ISBN13 9789089414243,"Je vindt dit boek in Categorieën Kind & Jeugd > Voorlees- & Sprookjesboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden , 6-9 jaar , 9-12 jaar",Nederlands Memphis Belle maart 2015
De grote Kleine Prinses,,"[""Auteur: Tony Ross"", ""Verkoop door bol.com""]",Memphis Belle,maart 2015,,Productinformatie Auteur Tony Ross Soort Met illustraties Taal Nederlands Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9089419039 ISBN13 9789089419033,"Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Memphis Belle maart 2015
Dag lieve oma,,"[""Auteur: Melanie Walsh"", ""Verkoop door bol.com""]",Memphis Belle,,,Productinformatie Auteur Melanie Walsh Soort Met illustraties Taal Nederlands Geschikt voor 0 - 6 jaar Druk 1 ISBN10 9089413650 ISBN13 9789089413659,"Je vindt dit boek in Categorieën Kind & Jeugd > Prentenboeken Leeftijd 0-6 maanden , 1-2 jaar , 2-3 jaar , 3-6 jaar , 6-12 maanden",Nederlands Memphis Belle
